Indicator,Indicator Code
Average income per tax unit-including capital gains,6100201
Average income per tax unit,6100101
Bottom 90% average income-including capital gains,6310701
Bottom 90% average income,6210701
Income control-including capital gains,4200101
Income control,4100101
Inverted Pareto-Lorenz coefficient,7100201
Number of tax returns,3100301
Number of tax units,3100201
P90 income threshold-including capital gains,6330101
P90 income threshold,6230101
P95 income threshold-including capital gains,6330201
P95 income threshold,6230201
P99 income threshold-including capital gains,6330301
P99 income threshold,6230301
P99.5 income threshold-including capital gains,6330401
P99.5 income threshold,6230401
P99.9 income threshold-including capital gains,6330501
P99.9 income threshold,6230501
P99.99 income threshold-including capital gains,6330601
P99.99 income threshold,6230601
Pareto-Lorenz coefficient,7100101
Price index,5100101
Top 0.01% average income-including capital gains,6310601
Top 0.01% average income,6210601
Top 0.01% capital gains (a),2210601
Top 0.01% capital gains (b),2310601
Top 0.01% income composition-Dividends,2110605
Top 0.01% income composition-Entrepreneurial income,2110614
Top 0.01% income composition-Interest Income,2110606
Top 0.01% income composition-Rents,2110612
"Top 0.01% income composition-Wages, salaries and pensions",2110601
Top 0.01% income share-including capital gains,1210701
Top 0.01% income share,1110701
Top 0.1% average income-including capital gains,6310501
Top 0.1% average income,6210501
Top 0.1% capital gains (a),2210501
Top 0.1% capital gains (b),2310501
Top 0.1% income composition-Dividends,2110505
Top 0.1% income composition-Entrepreneurial income,2110514
Top 0.1% income composition-Interest Income,2110506
Top 0.1% income composition-Rents,2110512
"Top 0.1% income composition-Wages, salaries and pensions",2110501
Top 0.1% income share-including capital gains,1210501
Top 0.1% income share,1110501
Top 0.1-0.01% average income-including capital gains,6320501
Top 0.1-0.01% average income,6220501
Top 0.1-0.01% capital gains (a),2220501
Top 0.1-0.01% capital gains (b),2320501
Top 0.1-0.01% income composition-Dividends,2120505
Top 0.1-0.01% income composition-Entrepreneurial income,2120514
Top 0.1-0.01% income composition-Interest Income,2120506
Top 0.1-0.01% income composition-Rents,2120512
"Top 0.1-0.01% income composition-Wages, salaries and pensions",2120501
Top 0.1-0.01% income share-including capital gains,1220701
Top 0.1-0.01% income share,1120701
Top 0.5% average income-including capital gains,6310401
Top 0.5% average income,6210401
Top 0.5% capital gains (a),2210401
Top 0.5% capital gains (b),2310401
Top 0.5% income composition-Dividends,2110405
Top 0.5% income composition-Entrepreneurial income,2110414
Top 0.5% income composition-Interest Income,2110406
Top 0.5% income composition-Rents,2110412
"Top 0.5% income composition-Wages, salaries and pensions",2110401
Top 0.5% income share-including capital gains,1210401
Top 0.5% income share,1110401
Top 0.5-0.1% average income-including capital gains,6320401
Top 0.5-0.1% average income,6220401
Top 0.5-0.1% capital gains (a),2220401
Top 0.5-0.1% capital gains (b),2320401
Top 0.5-0.1% income composition-Dividends,2120405
Top 0.5-0.1% income composition-Entrepreneurial income,2120414
Top 0.5-0.1% income composition-Interest Income,2120406
Top 0.5-0.1% income composition-Rents,2120412
"Top 0.5-0.1% income composition-Wages, salaries and pensions",2120401
Top 0.5-0.1% income share-including capital gains,1220401
Top 0.5-0.1% income share,1120401
Top 1% average income-including capital gains,6310301
Top 1% average income,6210301
Top 1% capital gains (a),2210301
Top 1% capital gains (b),2310301
Top 1% income composition-Dividends,2110305
Top 1% income composition-Entrepreneurial income,2110314
Top 1% income composition-Interest Income,2110306
Top 1% income composition-Rents,2110312
"Top 1% income composition-Wages, salaries and pensions",2110301
Top 1% income share-including capital gains,1210301
Top 1% income share,1110301
Top 1-0.5% average income-including capital gains,6320301
Top 1-0.5% average income,6220301
Top 1-0.5% capital gains (a),2220301
Top 1-0.5% capital gains (b),2320301
Top 1-0.5% income composition-Dividends,2120305
Top 1-0.5% income composition-Entrepreneurial income,2120314
Top 1-0.5% income composition-Interest Income,2120306
Top 1-0.5% income composition-Rents,2120312
"Top 1-0.5% income composition-Wages, salaries and pensions",2120301
Top 1-0.5% income share-including capital gains,1220301
Top 1-0.5% income share,1120301
Top 10% average income-including capital gains,6310101
Top 10% average income,6210101
Top 10% capital gains (a),2210101
Top 10% capital gains (b),2310101
Top 10% income composition-Dividends,2110105
Top 10% income composition-Entrepreneurial income,2110114
Top 10% income composition-Interest Income,2110106
Top 10% income composition-Rents,2110112
"Top 10% income composition-Wages, salaries and pensions",2110101
Top 10% income share-including capital gains,1210101
Top 10% income share,1110101
Top 10-5% average income-including capital gains,6320101
Top 10-5% average income,6220101
Top 10-5% capital gains (a),2220101
Top 10-5% capital gains (b),2320101
Top 10-5% income composition-Dividends,2120105
Top 10-5% income composition-Entrepreneurial income,2120114
Top 10-5% income composition-Interest Income,2120106
Top 10-5% income composition-Rents,2120112
"Top 10-5% income composition-Wages, salaries and pensions",2120101
Top 10-5% income share-including capital gains,1220101
Top 10-5% income share,1120101
Top 5% average income-including capital gains,6310201
Top 5% average income,6210201
Top 5% capital gains (a),2210201
Top 5% capital gains (b),2310201
Top 5% income composition-Dividends,2110205
Top 5% income composition-Entrepreneurial income,2110214
Top 5% income composition-Interest Income,2110206
Top 5% income composition-Rents,2110212
"Top 5% income composition-Wages, salaries and pensions",2110201
Top 5% income share-including capital gains,1210201
Top 5% income share,1110201
Top 5-1% average income-including capital gains,6320201
Top 5-1% average income,6220201
Top 5-1% capital gains (a),2220201
Top 5-1% capital gains (b),2320201
Top 5-1% income composition-Dividends,2120205
Top 5-1% income composition-Entrepreneurial income,2120214
Top 5-1% income composition-Interest Income,2120206
Top 5-1% income composition-Rents,2120212
"Top 5-1% income composition-Wages, salaries and pensions",2120201
Top 5-1% income share-including capital gains,1220201
Top 5-1% income share,1120201
