"","Date","Value","CountryCode","Country"
"1",2004-12-31,180914.64,"ARG","Argentina"
"2",2003-12-31,170447.19,"ARG","Argentina"
"3",2002-12-31,147347.31,"ARG","Argentina"
"4",2001-12-31,140329.81,"ARG","Argentina"
"5",2000-12-31,166461.09,"ARG","Argentina"
"6",1999-12-31,165949.68,"ARG","Argentina"
"7",1998-12-31,151552.88,"ARG","Argentina"
"8",1997-12-31,141054.75,"ARG","Argentina"
"9",1961-12-31,121174.73,"ARG","Argentina"
"10",1959-12-31,135168.29,"ARG","Argentina"
"11",1958-12-31,115660.49,"ARG","Argentina"
"12",1956-12-31,123025.06,"ARG","Argentina"
"13",1954-12-31,121267.77,"ARG","Argentina"
"14",1953-12-31,109019.45,"ARG","Argentina"
"15",1952-12-31,121748.21,"ARG","Argentina"
"16",1951-12-31,127028.84,"ARG","Argentina"
"17",1950-12-31,149531.03,"ARG","Argentina"
"18",1949-12-31,150863.74,"ARG","Argentina"
"19",1948-12-31,175159.44,"ARG","Argentina"
"20",1947-12-31,166322.51,"ARG","Argentina"
"21",1946-12-31,147603.52,"ARG","Argentina"
"22",1945-12-31,161731.75,"ARG","Argentina"
"23",1944-12-31,157821.35,"ARG","Argentina"
"24",1943-12-31,171018.72,"ARG","Argentina"
"25",1942-12-31,158922.52,"ARG","Argentina"
"26",1941-12-31,146231.73,"ARG","Argentina"
"27",1940-12-31,132378.38,"ARG","Argentina"
"28",1939-12-31,135831.95,"ARG","Argentina"
"29",1938-12-31,136217.46,"ARG","Argentina"
"30",1937-12-31,130134.54,"ARG","Argentina"
"31",1936-12-31,132167.16,"ARG","Argentina"
"32",1935-12-31,119325.63,"ARG","Argentina"
"33",1934-12-31,112928.33,"ARG","Argentina"
"34",1933-12-31,107213.46,"ARG","Argentina"
"35",1932-12-31,123907.86,"ARG","Argentina"
"36",2010-12-31,451886.43,"AUS","Australia"
"37",2009-12-31,417724.54,"AUS","Australia"
"38",2008-12-31,417560.78,"AUS","Australia"
"39",2007-12-31,464028.24,"AUS","Australia"
"40",2006-12-31,464739.29,"AUS","Australia"
"41",2005-12-31,406311.63,"AUS","Australia"
"42",2004-12-31,386935.35,"AUS","Australia"
"43",2003-12-31,357884.27,"AUS","Australia"
"44",2002-12-31,332672.71,"AUS","Australia"
"45",2001-12-31,316942.03,"AUS","Australia"
